Packet Size,Duration,Flow Rate,Source Port,Destination Port,Protocol,Attack Type
1166,7.109813835888647,317.5996947319494,62219,18437,UDP,Normal
1499,1.9958697664558593,952.8022478485342,37045,49138,TCP,Normal
900,7.362735589801184,825.2182473388266,55155,60524,TCP,Normal
1334,5.298870391787986,666.3402551464562,25111,20002,ICMP,Normal
1170,7.072593726348801,121.84973493416226,13852,57382,UDP,Normal
1135,7.678027234926946,478.28619964576745,62634,1685,ICMP,Normal
1084,0.8738145057171648,506.1569440912662,32152,36264,UDP,Normal
161,5.061533459637111,232.62810322954354,59107,28277,ICMP,Normal
506,9.320211408227085,80.05739781986601,2425,27908,UDP,Normal
1278,3.207101279402983,776.7459581086455,20667,33878,ICMP,Normal
370,5.939237092481431,122.12284861918258,16217,11728,TCP,Normal
127,3.6929355846174516,594.3313214867186,27877,40011,UDP,Normal
1436,4.543225454218778,936.4555289662721,45888,64982,UDP,Normal
1163,5.486482576263595,876.1175820787828,21331,25551,TCP,Normal
911,5.4896708769098845,277.8248484868862,38006,17346,ICMP,Normal
170,2.018102892840028,851.4634926875102,20635,48541,UDP,Normal
1372,6.846030907250454,0.43247286987735745,44815,7992,UDP,Normal
809,0.8795932443153255,17.786040832295896,12974,28542,ICMP,Normal
383,1.3891089096467617,602.5929085264806,11728,52949,TCP,Normal
1477,0.028106283,364.86173932261505,44135,60872,ICMP,Normal
845,1.1678439453526714,386.5221950750312,12891,47388,ICMP,Normal
425,4.732188844317871,564.4846465698146,3769,28910,ICMP,Normal
1255,6.061412708677331,191.86327734630137,56267,2724,UDP,Normal
995,7.943100210214658,211.83417513041178,4890,29270,TCP,Normal
316,1.0678858018842472,484.6531268601628,33269,36492,TCP,Normal
1224,8.507423873,754.2781189894287,45748,24223,ICMP,Normal
499,7.459999280961633,619.5358016324469,64169,45613,UDP,Normal
1377,4.085774411066233,297.42531273201524,6842,33139,ICMP,Normal
61,9.329447732932447,430.39414379117034,52398,62958,UDP,Normal
292,9.909303835097448,170.7476920741434,49885,51823,UDP,Normal
787,2.0508130987223194,74.72235136,52968,56214,UDP,Normal
